X,Y,Date,Site,GenSite,Season,Lat,Long,Flow,Discharge,pH,Temp_pH,SpecCond,Temp_sc,pH_est,Temp_est,Balance,Flag,Ca,CO2,CO2_iso,DIC,DIC_iso,Bicarb,Carb,CarbAcid,CO2_aq,Bicarb_per,logSI,DelDICCO2,eDICCO2,Time
-94.222514,36.449534,2012/04/06,BS06,cave,spring,36.44953400000,-94.22251400000,baseflow,0.01300000000,8.50000000000,14.50000000000,157.60000000000,14.40000000000,-9999.00000000000,-9999.00000000000,2.00000000000,-9999,26.00000000000,786.00000000000,-15.61000000000,23.10000000000,-9.17000000000,0.00188000000,0.00002840000,0.00001300000,0.00001300000,98.00000000000,0.48000000000,6.40000000000,9.00000000000,10:00
-94.222514,36.449534,2012/04/18,BS06,cave,spring,36.44953400000,-94.22251400000,baseflow,0.01300000000,8.20000000000,14.60000000000,183.70000000000,14.40000000000,-9999.00000000000,-9999.00000000000,2.00000000000,-9999,32.60000000000,1207.00000000000,-19.01000000000,26.50000000000,-10.47000000000,0.00216000000,0.00001560000,0.00003200000,0.00003200000,98.00000000000,0.30000000000,8.50000000000,8.90000000000,17:00
-94.222514,36.449534,2012/05/04,BS06,cave,spring,36.44953400000,-94.22251400000,baseflow,0.01300000000,7.70000000000,14.50000000000,184.00000000000,14.50000000000,-9999.00000000000,-9999.00000000000,3.00000000000,-9999,33.40000000000,2221.00000000000,-18.20000000000,26.70000000000,-12.70000000000,0.00210000000,0.00000420000,0.00011400000,0.00011400000,95.00000000000,-0.26000000000,5.50000000000,8.50000000000,9:48
-94.222514,36.449534,2012/05/14,BS06,cave,spring,36.44953400000,-94.22251400000,baseflow,0.01000000000,7.70000000000,14.40000000000,199.20000000000,14.50000000000,-9999.00000000000,-9999.00000000000,1.00000000000,-9999,37.10000000000,2395.00000000000,-21.93000000000,23.70000000000,-13.19000000000,0.00188000000,0.00000440000,0.00008900000,0.00008900000,95.00000000000,-0.21000000000,8.70000000000,8.60000000000,17:10
-94.222514,36.449534,2012/06/26,BS06,cave,summer,36.44953400000,-94.22251400000,baseflow,0.01000000000,7.90000000000,14.60000000000,213.10000000000,14.60000000000,-9999.00000000000,-9999.00000000000,25.00000000000,E,66.10000000000,-9999.00000000000,-9999.00000000000,25.40000000000,-12.88000000000,0.00205000000,0.00000780000,0.00005800000,0.00005800000,97.00000000000,0.30000000000,-9999.00000000000,-9999.00000000000,15:10
-94.222514,36.449534,2012/07/23,BS06,cave,summer,36.44953400000,-94.22251400000,baseflow,0.00800000000,8.60000000000,14.60000000000,211.10000000000,14.50000000000,-9999.00000000000,-9999.00000000000,3.00000000000,-9999,39.70000000000,-9999.00000000000,-9999.00000000000,24.80000000000,-11.99000000000,0.00202000000,0.00003400000,0.00001300000,0.00001300000,98.00000000000,0.70000000000,-9999.00000000000,-9999.00000000000,14:15
-94.222514,36.449534,2012/08/10,BS06,cave,summer,36.44953400000,-94.22251400000,baseflow,0.00800000000,8.60000000000,14.60000000000,212.40000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,2.00000000000,-9999,39.90000000000,1964.00000000000,-20.37000000000,25.00000000000,-12.18000000000,0.00203000000,0.00003270000,0.00001400000,0.00001400000,98.00000000000,0.69000000000,8.20000000000,9.00000000000,15:45
-94.222514,36.449534,2012/08/22,BS06,cave,summer,36.44953400000,-94.22251400000,baseflow,0.00900000000,8.40000000000,14.50000000000,217.60000000000,14.50000000000,-9999.00000000000,-9999.00000000000,6.00000000000,-9999,40.80000000000,2252.00000000000,-17.72000000000,24.20000000000,-13.63000000000,0.00197000000,0.00002100000,0.00002000000,0.00002000000,91.00000000000,0.51000000000,4.10000000000,8.90000000000,13:00
-94.222514,36.449534,2012/09/07,BS06,cave,summer,36.44953400000,-94.22251400000,baseflow,0.00900000000,7.80000000000,14.60000000000,209.80000000000,14.50000000000,-9999.00000000000,-9999.00000000000,2.00000000000,-9999,39.40000000000,2555.00000000000,-21.34000000000,25.10000000000,-14.23000000000,0.00201000000,0.00000570000,0.00007800000,0.00007800000,96.00000000000,-0.08000000000,7.10000000000,8.70000000000,11:05
-94.222514,36.449534,2012/09/20,BS06,cave,summer,36.44953400000,-94.22251400000,baseflow,0.01100000000,8.10000000000,14.50000000000,207.60000000000,14.60000000000,-9999.00000000000,-9999.00000000000,0.00000000000,-9999,37.40000000000,2589.00000000000,-22.05000000000,22.80000000000,-13.88000000000,0.00185000000,0.00000980000,0.00003800000,0.00003800000,97.00000000000,0.15000000000,8.20000000000,8.80000000000,15:50
