,discharge,quality
2015-05-18,363.0,A
2015-05-19,395.0,A
2015-05-20,377.0,A
2015-05-21,365.0,A
2015-05-22,336.0,A
2015-05-23,317.0,A
2015-05-24,2610.0,A
2015-05-25,2520.0,A
2015-05-26,1280.0,A
2015-05-27,868.0,A
2015-05-28,723.0,A
2015-05-29,976.0,A
2015-05-30,2230.0,A
2015-05-31,1330.0,A
2015-06-01,892.0,A
2015-06-02,651.0,A
2015-06-03,563.0,A
2015-06-04,499.0,A
2015-06-05,448.0,A
2015-06-06,411.0,A
2015-06-07,382.0,A
2015-06-08,356.0,A
2015-06-09,331.0,A
2015-06-10,310.0,A
2015-06-11,293.0,A
2015-06-12,280.0,A
2015-06-13,269.0,A
2015-06-14,268.0,A
2015-06-15,288.0,A
2015-06-16,407.0,A
2015-06-17,372.0,A
2015-06-18,458.0,A
2015-06-19,3500.0,A
2015-06-20,1480.0,A
2015-06-21,846.0,A
2015-06-22,592.0,A
2015-06-23,487.0,A
2015-06-24,431.0,A
2015-06-25,388.0,A
2015-06-26,356.0,A
2015-06-27,330.0,A
2015-06-28,303.0,A
2015-06-29,281.0,A
2015-06-30,268.0,A
2015-07-01,259.0,A
2015-07-02,256.0,A
2015-07-03,267.0,A
2015-07-04,293.0,A
2015-07-05,278.0,A
2015-07-06,261.0,A
2015-07-07,1520.0,A
2015-07-08,2070.0,A
2015-07-09,2950.0,A
2015-07-10,3450.0,A
2015-07-11,1160.0,A
2015-07-12,691.0,A
2015-07-13,494.0,A
2015-07-14,388.0,A
2015-07-15,324.0,A
2015-07-16,285.0,A
2015-07-17,251.0,A
2015-07-18,224.0,A
2015-07-19,203.0,A
2015-07-20,190.0,A
2015-07-21,194.0,A
2015-07-22,197.0,A
2015-07-23,193.0,A
2015-07-24,178.0,A
2015-07-25,166.0,A
2015-07-26,157.0,A
2015-07-27,148.0,A
2015-07-28,142.0,A
2015-07-29,136.0,A
2015-07-30,131.0,A
2015-07-31,125.0,A
2015-08-01,120.0,A
2015-08-02,114.0,A
2015-08-03,110.0,A
2015-08-04,104.0,A
2015-08-05,107.0,A
2015-08-06,112.0,A
2015-08-07,107.0,A
2015-08-08,101.0,A
2015-08-09,95.2,A
2015-08-10,88.9,A
2015-08-11,88.0,A
2015-08-12,81.5,A
2015-08-13,77.2,A
2015-08-14,70.7,A
2015-08-15,83.1,A
2015-08-16,66.5,A
2015-08-17,64.6,A
2015-08-18,51.4,A
2015-08-19,147.0,A
2015-08-20,182.0,A
2015-08-21,139.0,A
2015-08-22,184.0,A
2015-08-23,288.0,A
2015-08-24,287.0,A
2015-08-25,210.0,A
2015-08-26,173.0,A
2015-08-27,149.0,A
2015-08-28,132.0,A
2015-08-29,119.0,A
2015-08-30,108.0,A
2015-08-31,101.0,A
2015-09-01,94.9,A
2015-09-02,88.1,A
2015-09-03,82.7,A
2015-09-04,78.5,A
2015-09-05,73.8,A
2015-09-06,70.3,A
2015-09-07,67.0,A
2015-09-08,96.1,A
2015-09-09,164.0,A
2015-09-10,138.0,A
2015-09-11,119.0,A
2015-09-12,104.0,A
2015-09-13,90.4,A
2015-09-14,81.2,A
