,discharge,quality
2017-08-20,145.0,A
2017-08-21,128.0,A
2017-08-22,119.0,A
2017-08-23,112.0,A
2017-08-24,99.9,A
2017-08-25,89.4,A
2017-08-26,82.4,A
2017-08-27,76.6,A
2017-08-28,70.5,A
2017-08-29,65.6,A
2017-08-30,61.4,A
2017-08-31,56.9,A
2017-09-01,54.1,A
2017-09-02,51.7,A
2017-09-03,49.8,A
2017-09-04,47.4,A
2017-09-05,45.4,A
2017-09-06,42.1,A
2017-09-07,40.6,A
2017-09-08,39.6,A
2017-09-09,39.0,A
2017-09-10,37.9,A
2017-09-11,36.8,A
2017-09-12,35.4,A
2017-09-13,35.2,A
2017-09-14,35.2,A
2017-09-15,33.6,A
2017-09-16,33.0,A
2017-09-17,39.4,A
2017-09-18,51.9,A
2017-09-19,50.8,A
2017-09-20,46.0,A
2017-09-21,42.9,A
2017-09-22,40.2,A
2017-09-23,38.8,A
2017-09-24,35.8,A
2017-09-25,34.7,A
2017-09-26,34.3,A
2017-09-27,36.9,A
2017-09-28,36.7,A
2017-09-29,35.6,A
2017-09-30,33.6,A
2017-10-01,32.8,A
2017-10-02,31.5,A
2017-10-03,31.5,A
2017-10-04,36.4,A
2017-10-05,44.1,A
2017-10-06,47.3,A
2017-10-07,44.9,A
2017-10-08,41.1,A
2017-10-09,38.8,A
2017-10-10,40.4,A
2017-10-11,42.3,A
2017-10-12,42.3,A
2017-10-13,39.9,A
2017-10-14,38.4,A
2017-10-15,43.3,A
2017-10-16,53.8,A
2017-10-17,52.7,A
2017-10-18,46.9,A
2017-10-19,43.0,A
2017-10-20,40.0,A
2017-10-21,39.4,A
2017-10-22,110.0,A
2017-10-23,164.0,A
2017-10-24,113.0,A
2017-10-25,92.7,A
2017-10-26,79.3,A
2017-10-27,67.9,A
2017-10-28,60.3,A
2017-10-29,55.9,A
2017-10-30,52.6,A
2017-10-31,50.0,A
2017-11-01,48.0,A
2017-11-02,47.2,A
2017-11-03,46.3,A
2017-11-04,44.6,A
2017-11-05,44.1,A
2017-11-06,43.7,A
2017-11-07,42.4,A
2017-11-08,41.1,A
2017-11-09,40.3,A
2017-11-10,41.5,A
2017-11-11,45.7,A
2017-11-12,46.4,A
2017-11-13,46.2,A
2017-11-14,104.0,A
2017-11-15,130.0,A
2017-11-16,128.0,A
2017-11-17,122.0,A
2017-11-18,116.0,A
2017-11-19,108.0,A
2017-11-20,102.0,A
2017-11-21,98.6,A
2017-11-22,92.8,A
2017-11-23,82.8,A
2017-11-24,79.0,A
2017-11-25,77.0,A
2017-11-26,73.8,A
2017-11-27,71.4,A
2017-11-28,59.4,A
2017-11-29,63.3,A
2017-11-30,76.5,A
2017-12-01,90.0,A
2017-12-02,86.7,A
2017-12-03,78.3,A
2017-12-04,75.2,A
2017-12-05,80.7,A
2017-12-06,68.6,A
2017-12-07,55.7,A
2017-12-08,51.2,A
2017-12-09,48.5,A
2017-12-10,45.9,A
2017-12-11,43.8,A
2017-12-12,42.2,A
2017-12-13,37.4,A
2017-12-14,34.6,A
2017-12-15,33.7,A
2017-12-16,33.5,A
2017-12-17,36.1,A
2017-12-18,37.0,A
2017-12-19,39.3,A
2017-12-20,46.1,A
2017-12-21,51.8,A
2017-12-22,51.4,A
2017-12-23,93.0,A
2017-12-24,122.0,A
2017-12-25,106.0,A
2017-12-26,95.1,A
2017-12-27,87.0,A
2017-12-28,78.4,A
2017-12-29,71.6,A
2017-12-30,67.5,A
2017-12-31,61.5,A
2018-01-01,56.5,A
